n_0,n_1,n_2,n_3,target
65,64,62,60,62
64,62,60,62,64
62,60,62,64,67
60,62,64,67,65
62,64,67,65,64
64,67,65,64,60
67,65,64,60,62
65,64,60,62,64
64,60,62,64,60
60,62,64,60,64
62,64,60,64,60
64,60,64,60,60
60,64,60,60,60
64,60,60,60,62
60,60,60,62,64
60,60,62,64,62
60,62,64,62,60
62,64,62,60,64
83,84,83,81,79
84,83,81,79,77
83,81,79,77,79
81,79,77,79,83
79,77,79,83,81
77,79,83,81,83
79,83,81,83,84
83,81,83,84,84
81,83,84,84,84
83,84,84,84,84
84,84,84,84,84
84,84,84,84,83
84,84,84,83,79
84,84,83,79,76
84,83,79,76,77
83,79,76,77,79
79,76,77,79,76
76,77,79,76,79
77,79,76,79,83
79,76,79,83,84
76,79,83,84,83
79,83,84,83,84
83,84,83,84,81
84,83,84,81,83
83,84,81,83,81
84,81,83,81,79
81,83,81,79,83
83,81,79,83,84
81,79,83,84,84
79,83,84,84,83
83,84,84,83,84
84,84,83,84,81
84,83,84,81,79
83,84,81,79,77
84,81,79,77,76
81,79,77,76,79
79,77,76,79,83
77,76,79,83,81
76,79,83,81,83
79,83,81,83,84
83,81,83,84,84
81,83,84,84,83
83,84,84,83,81
84,84,83,81,84
84,83,81,84,81
83,81,84,81,83
81,84,81,83,81
84,81,83,81,77
81,83,81,77,79
83,81,77,79,77
81,77,79,77,79
77,79,77,79,83
79,77,79,83,84
77,79,83,84,84
79,83,84,84,84
83,84,84,84,84
84,84,84,84,84
84,84,84,84,83
84,84,84,83,84
84,84,83,84,84
84,83,84,84,83
83,84,84,83,84
84,84,83,84,84
84,83,84,84,81
83,84,84,81,83
84,84,81,83,79
84,81,83,79,77
81,83,79,77,81
83,79,77,81,83
79,77,81,83,81
77,81,83,81,84
81,83,81,84,84
83,81,84,84,81
81,84,84,81,84
84,84,81,84,84
84,81,84,84,83
84,80,84,82,84
80,84,82,84,86
84,82,84,86,82
82,84,86,82,79
84,86,82,79,75
86,82,79,75,77
82,79,75,77,74
79,75,77,74,72
75,77,74,72,68
77,74,72,68,70
74,72,68,70,72
72,68,70,72,74
68,70,72,74,70
70,72,74,70,68
72,74,70,68,72
74,70,68,72,70
70,68,72,70,67
68,72,70,67,70
72,70,67,70,72
70,67,70,72,75
67,70,72,75,77
70,72,75,77,80
72,75,77,80,79
75,77,80,79,75
77,80,79,75,74
80,79,75,74,75
79,75,74,75,72
75,74,75,72,68
74,75,72,68,70
75,72,68,70,72
72,68,70,72,70
68,70,72,70,72
70,72,70,72,75
72,70,72,75,79
70,72,75,79,77
72,75,79,77,79
75,79,77,79,80
79,77,79,80,82
77,79,80,82,79
79,80,82,79,82
80,82,79,82,84
82,79,82,84,86
79,82,84,86,84
82,84,86,84,86
84,86,84,86,84
86,84,86,84,87
84,86,84,87,86
86,84,87,86,87
84,87,86,87,86
87,86,87,86,82
86,87,86,82,84
87,86,82,84,86
86,82,84,86,84
82,84,86,84,82
84,86,84,82,80
86,84,82,80,79
84,82,80,79,80
82,80,79,80,84
80,79,80,84,80
79,80,84,80,84
80,84,80,84,80
84,80,84,80,82
80,84,80,82,79
84,80,82,79,75
80,82,79,75,79
82,79,75,79,77
79,75,79,77,75
75,79,77,75,74
79,77,75,74,75
77,75,74,75,74
75,74,75,74,70
74,75,74,70,68
75,74,70,68,65
74,70,68,65,68
70,68,65,68,67
68,65,68,67,65
76,72,69,67,65
72,69,67,65,64
69,67,65,64,65
67,65,64,65,64
65,64,65,64,67
64,65,64,67,69
65,64,67,69,71
64,67,69,71,72
67,69,71,72,74
69,71,72,74,71
71,72,74,71,67
72,74,71,67,65
74,71,67,65,67
71,67,65,67,69
67,65,67,69,71
65,67,69,71,72
67,69,71,72,74
69,71,72,74,76
71,72,74,76,77
72,74,76,77,79
74,76,77,79,76
76,77,79,76,74
77,79,76,74,72
79,76,74,72,76
76,74,72,76,77
74,72,76,77,79
72,76,77,79,77
76,77,79,77,76
77,79,77,76,72
79,77,76,72,71
77,76,72,71,69
76,72,71,69,65
72,71,69,65,67
71,69,65,67,71
69,65,67,71,72
65,67,71,72,69
67,71,72,69,72
71,72,69,72,69
72,69,72,69,71
69,72,69,71,69
72,69,71,69,71
69,71,69,71,69
71,69,71,69,67
69,71,69,67,71
71,69,67,71,74
69,67,71,74,76
67,71,74,76,77
71,74,76,77,79
74,76,77,79,77
76,77,79,77,81
77,79,77,81,84
79,77,81,84,84
77,81,84,84,84
81,84,84,84,84
84,84,84,84,83
84,84,84,83,81
84,84,83,81,83
84,83,81,83,79
83,81,83,79,83
81,83,79,83,84
83,79,83,84,83
79,83,84,83,81
83,84,83,81,83
84,83,81,83,79
83,81,83,79,77
81,83,79,77,79
83,79,77,79,76
79,77,79,76,77
77,79,76,77,74
79,76,77,74,72
76,77,74,72,74
77,74,72,74,76
74,72,74,76,74
72,74,76,74,76
74,76,74,76,72
76,74,76,72,74
